year,team_name,stage_rank,won_tournament,elo_pre_tournament,form_matches,form_win_rate,form_draw_rate,form_gd_per_game,form_gf_per_game,form_ga_per_game,form_points_per_game,squad_size,squad_avg_age,squad_min_age,squad_avg_exp,n_gk,n_def,n_mid,n_fwd,wc_appearances,best_stage_ever,is_host,won_last_wc
1966,Italy,1,0,1500.0,14.0,0.5714285714285714,0.2857142857142857,1.7857142857142858,2.4285714285714284,0.6428571428571429,2.0,22,25.9,22.442162902121833,0.27,0,7,6,6,5,7,0,0
1966,Mexico,1,0,1500.0,19.0,0.6842105263157895,0.21052631578947367,1.4736842105263157,2.3157894736842106,0.8421052631578947,2.263157894736842,22,25.6,20.528405201916495,0.55,0,6,6,7,5,1,0,0
1966,North Korea,4,0,1500.0,7.0,1.0,0.0,3.0,3.2857142857142856,0.2857142857142857,3.0,22,22.9,19.520876112251884,0.0,0,7,7,6,0,0,0,0
1966,Portugal,6,0,1500.0,12.0,0.75,0.16666666666666666,1.3333333333333333,1.75,0.4166666666666667,2.4166666666666665,22,27.6,22.573579739904176,0.0,0,6,8,5,0,0,0,0
1966,Soviet Union,6,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22,26.4,20.37782340862423,0.5,0,6,6,7,2,4,0,0
1966,Spain,1,0,1500.0,6.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,1.0,0.8333333333333334,1.3333333333333333,22,26.9,20.459958932238195,0.32,0,6,8,5,3,4,0,0
1966,Switzerland,1,0,1500.0,9.0,0.3333333333333333,0.4444444444444444,0.1111111111111111,1.0,0.8888888888888888,1.4444444444444444,22,27.2,20.503764544832308,0.23,0,6,8,5,5,4,0,0
1966,Uruguay,4,0,1500.0,16.0,0.4375,0.25,0.375,1.625,1.25,1.5625,22,26.5,20.16700889801506,0.45,0,8,6,5,4,7,0,0
1966,West Germany,7,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22,25.6,20.829568788501028,0.36,0,8,4,7,3,7,0,0
1970,Belgium,1,0,1500.0,6.0,0.3333333333333333,0.16666666666666666,-0.6666666666666666,1.0,1.6666666666666667,1.1666666666666667,22,26.3,22.65571526351814,0.0,0,5,8,6,4,3,0,0
1970,Brazil,7,1,1500.0,18.0,0.7777777777777778,0.16666666666666666,1.7222222222222223,2.6666666666666665,0.9444444444444444,2.5,22,25.0,19.312799452429843,0.36,0,8,5,6,8,7,0,0
1970,Bulgaria,1,0,1500.0,16.0,0.25,0.4375,-0.1875,1.375,1.5625,1.1875,22,26.3,22.61738535249829,0.68,0,8,5,6,2,1,0,0
1970,Czechoslovakia,1,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22,25.5,19.874058863791923,0.09,0,7,6,6,5,7,0,0
1970,El Salvador,1,0,1500.0,15.0,0.5333333333333333,0.0,-0.13333333333333333,1.4666666666666666,1.6,1.6,22,25.5,21.420944558521562,0.0,0,6,7,6,0,0,0,0
1970,England,4,0,1500.0,19.0,0.631578947368421,0.3157894736842105,1.4210526315789473,2.0,0.5789473684210527,2.210526315789474,22,27.6,22.757015742642025,0.59,0,8,6,5,5,7,0,1
1970,Israel,1,0,1500.0,9.0,0.4444444444444444,0.3333333333333333,0.8888888888888888,2.0,1.1111111111111112,1.6666666666666667,22,24.7,21.744010951403148,0.0,0,6,7,6,0,0,0,0
1970,Italy,7,0,1500.0,8.0,0.5,0.5,1.0,2.125,1.125,2.0,22,27.3,23.457905544147845,0.41,0,8,6,5,6,7,0,0
1970,Mexico,4,0,1500.0,20.0,0.4,0.3,0.35,1.35,1.0,1.5,22,26.9,21.7056810403833,0.5,0,7,6,6,6,1,1,0
1970,Morocco,1,0,1500.0,15.0,0.3333333333333333,0.26666666666666666,0.06666666666666667,1.0666666666666667,1.0,1.2666666666666666,19,25.2,21.409993155373034,0.0,0,6,6,4,0,0,0,0
1970,Peru,4,0,1500.0,20.0,0.45,0.2,0.1,1.45,1.35,1.55,22,26.4,21.034907597535934,0.0,0,6,7,6,1,1,0,0
1970,Romania,1,0,1500.0,11.0,0.18181818181818182,0.6363636363636364,-0.09090909090909091,0.8181818181818182,0.9090909090909091,1.1818181818181819,22,25.4,20.407939767282684,0.0,0,8,6,5,3,3,0,0
1970,Soviet Union,4,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22,27.1,21.333333333333332,0.59,0,7,5,7,3,6,0,0
1970,Sweden,1,0,1500.0,14.0,0.7857142857142857,0.07142857142857142,1.1428571428571428,1.9285714285714286,0.7857142857142857,2.4285714285714284,22,26.6,21.270362765229294,0.0,0,7,9,3,4,7,0,0
1970,Uruguay,6,0,1500.0,10.0,0.6,0.1,0.6,1.2,0.6,1.9,22,25.9,19.956194387405887,0.41,0,7,6,6,5,7,0,0
1970,West Germany,6,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22,27.7,23.416837782340863,0.91,0,7,5,7,4,7,0,0
1974,Argentina,2,0,1500.0,16.0,0.5,0.3125,0.375,1.875,1.5,1.8125,22,26.7,19.912388774811774,0.05,0,7,7,5,5,7,0,0
1974,Australia,1,0,1500.0,16.0,0.375,0.375,0.4375,1.6875,1.25,1.5,22,27.5,23.066392881587955,0.0,0,7,8,4,0,0,0,0
1974,Brazil,6,0,1500.0,19.0,0.6842105263157895,0.21052631578947367,1.1578947368421053,1.6842105263157894,0.5263157894736842,2.263157894736842,22,26.2,21.99315537303217,0.45,0,7,6,6,9,7,0,1
1974,Bulgaria,1,0,1500.0,20.0,0.5,0.15,0.5,1.85,1.35,1.65,22,26.1,21.763175906913073,0.5,0,6,6,7,3,1,0,0
1974,Chile,1,0,1500.0,15.0,0.5333333333333333,0.26666666666666666,1.1333333333333333,2.1333333333333333,1.0,1.8666666666666667,22,27.8,22.68583162217659,0.18,0,8,6,5,4,6,0,0
1974,East Germany,2,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22,26.4,19.227926078028748,0.0,0,6,7,6,0,0,0,0
1974,Haiti,1,0,1500.0,20.0,0.5,0.15,0.2,1.1,0.9,1.65,22,26.2,22.677618069815196,0.0,0,8,6,5,0,0,0,0
1974,Italy,1,0,1500.0,10.0,0.7,0.3,1.5,1.5,0.0,2.4,22,28.8,24.095824777549623,0.77,0,7,7,5,7,7,0,0
