year,team_name,stage_rank,won_tournament,elo_pre_tournament,form_matches,form_win_rate,form_draw_rate,form_gd_per_game,form_gf_per_game,form_ga_per_game,form_points_per_game,squad_size,squad_avg_age,squad_min_age,squad_avg_exp,n_gk,n_def,n_mid,n_fwd,wc_appearances,best_stage_ever,is_host,won_last_wc
1958,Paraguay,1,0,1500.0,13.0,0.46153846153846156,0.15384615384615385,0.3076923076923077,1.8461538461538463,1.5384615384615385,1.5384615384615385,22,24.0,19.43600273785079,0.0,0,6,3,11,2,1,0,0
1958,Scotland,1,0,1500.0,11.0,0.45454545454545453,0.2727272727272727,-0.09090909090909091,1.7272727272727273,1.8181818181818181,1.6363636363636365,22,25.7,-26.351813826146476,0.18,0,6,4,10,1,1,0,0
1958,Soviet Union,4,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22,26.7,21.182751540041068,0.0,0,6,3,10,0,0,0,0
1958,Sweden,7,0,1500.0,9.0,0.5555555555555556,0.2222222222222222,1.2222222222222223,2.2222222222222223,1.0,1.8888888888888888,22,29.4,19.802874743326488,0.18,0,5,7,7,3,6,1,0
1958,Wales,4,0,1500.0,10.0,0.4,0.3,0.1,1.2,1.1,1.5,22,25.3,21.149897330595483,0.0,0,5,6,8,0,0,0,0
1958,West Germany,6,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22,27.3,19.189596167008897,0.32,0,6,6,7,1,7,0,1
1958,Yugoslavia,4,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22,26.0,20.580424366872005,0.36,0,7,5,7,3,5,0,0
1962,Argentina,1,0,1500.0,12.0,0.4166666666666667,0.3333333333333333,0.75,2.0833333333333335,1.3333333333333333,1.5833333333333333,22,25.8,20.238193018480494,0.09,0,8,4,8,3,7,0,0
1962,Brazil,7,1,1500.0,11.0,1.0,0.0,2.0,2.727272727272727,0.7272727272727273,3.0,22,28.0,18.967830253251197,0.95,0,8,4,8,6,7,0,1
1962,Bulgaria,1,0,1500.0,7.0,0.5714285714285714,0.0,-0.42857142857142855,1.0,1.4285714285714286,1.7142857142857142,22,25.2,19.071868583162217,0.0,0,5,5,9,0,0,0,0
1962,Chile,6,0,1500.0,10.0,0.5,0.1,1.0,2.3,1.3,1.6,22,25.8,19.994524298425734,0.0,0,8,3,8,2,1,1,0
1962,Colombia,1,0,1500.0,6.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,1.0,0.8333333333333334,1.3333333333333333,22,26.2,19.928815879534564,0.0,0,7,4,9,0,0,0,0
1962,Czechoslovakia,7,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22,26.2,20.254620123203285,0.55,0,7,2,10,4,7,0,0
1962,England,4,0,1500.0,13.0,0.6153846153846154,0.23076923076923078,1.8461538461538463,3.076923076923077,1.2307692307692308,2.076923076923077,22,26.5,21.130732375085557,0.41,0,6,7,7,3,4,0,0
1962,Hungary,4,0,1500.0,14.0,0.5,0.2857142857142857,0.42857142857142855,1.9285714285714286,1.5,1.7857142857142858,22,25.5,20.175222450376456,0.45,0,6,4,9,4,7,0,0
1962,Italy,1,0,1500.0,8.0,0.75,0.0,1.625,3.125,1.5,2.25,22,25.2,18.781656399726216,0.05,0,6,4,9,4,7,0,0
1962,Mexico,1,0,1500.0,15.0,0.4666666666666667,0.26666666666666666,0.26666666666666666,1.4666666666666666,1.2,1.6666666666666667,22,26.7,21.281314168377822,0.55,0,6,5,8,4,1,0,0
1962,Soviet Union,4,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22,25.9,20.941820670773442,0.32,0,5,7,7,1,4,0,0
1962,Spain,1,0,1500.0,7.0,0.7142857142857143,0.2857142857142857,1.0,1.7142857142857142,0.7142857142857143,2.4285714285714284,22,28.0,21.155373032169745,0.09,0,9,4,6,2,4,0,0
1962,Switzerland,1,0,1500.0,5.0,0.6,0.0,-0.6,1.6,2.2,1.8,22,28.6,23.49349760438056,0.32,0,7,4,8,4,4,0,0
1962,Uruguay,1,0,1500.0,11.0,0.2727272727272727,0.36363636363636365,-0.7272727272727273,1.2727272727272727,2.0,1.1818181818181819,22,25.1,19.488021902806295,0.09,0,7,6,7,3,7,0,0
1962,West Germany,4,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22,25.9,20.996577686516083,0.41,0,7,6,6,2,7,0,0
1962,Yugoslavia,6,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22,25.8,21.215605749486652,0.23,0,7,7,5,4,5,0,0
1966,Argentina,4,0,1500.0,11.0,0.36363636363636365,0.5454545454545454,0.45454545454545453,1.1818181818181819,0.7272727272727273,1.6363636363636365,22,26.7,19.698836413415467,0.32,0,4,8,7,4,7,0,0
1966,Brazil,1,0,1500.0,20.0,0.7,0.25,1.25,2.2,0.95,2.35,22,26.8,16.928131416837783,0.68,0,8,6,6,7,7,0,1
1966,Bulgaria,1,0,1500.0,11.0,0.6363636363636364,0.18181818181818182,0.45454545454545453,2.1818181818181817,1.7272727272727273,2.090909090909091,22,26.7,20.20807665982204,0.36,0,7,5,7,1,1,0,0
1966,Chile,1,0,1500.0,20.0,0.35,0.25,0.15,1.4,1.25,1.3,22,25.9,19.709787816564,0.41,0,6,8,6,3,6,0,0
1966,England,7,1,1500.0,17.0,0.7058823529411765,0.23529411764705882,1.1764705882352942,1.9411764705882353,0.7647058823529411,2.3529411764705883,22,27.2,21.163586584531142,0.5,0,7,7,5,4,4,1,0
1966,France,1,0,1500.0,9.0,0.3333333333333333,0.3333333333333333,0.0,1.1111111111111112,1.1111111111111112,1.3333333333333333,22,26.3,20.89801505817933,0.0,0,8,5,6,5,6,0,0
1966,Hungary,4,0,1500.0,10.0,0.5,0.2,0.3,1.7,1.4,1.7,22,26.5,21.522245037645447,0.73,0,6,5,8,5,7,0,0
