year,player_id,team_name,matches_played,matches_started,position_name,goals_scored,penalty_goals,open_play_goals,family_name,given_name,player_name,age,wc_exp,won_golden_boot,won_best_player,won_young_player
2018,P-57535,Serbia,3,3,center back,0,0,0,Milenković,Nikola,Nikola Milenković,20.7,0,False,False,False
2018,P-57615,Denmark,4,4,center midfielder,0,0,0,Delaney,Thomas,Thomas Delaney,26.8,0,False,False,False
2018,P-57722,Costa Rica,2,0,midfielder,0,0,0,Bolaños,Christian,Christian Bolaños,34.1,2,False,False,False
2018,P-57763,Croatia,1,0,midfielder,0,0,0,Bradarić,Filip,Filip Bradarić,26.4,0,False,False,False
2018,P-57865,Mexico,2,0,forward,0,0,0,Jiménez,Raúl,Raúl Jiménez,27.1,1,False,False,False
2018,P-57922,Croatia,1,1,center back,0,0,0,Ćaleta-Car,Duje,Duje Ćaleta-Car,21.7,0,False,False,False
2018,P-58363,Serbia,1,0,midfielder,0,0,0,Živković,Andrija,Andrija Živković,21.9,0,False,False,False
2018,P-58669,Costa Rica,2,2,right winger,0,0,0,Venegas,Johan,Johan Venegas,29.5,0,False,False,False
2018,P-58692,South Korea,3,2,right forward,0,0,0,Hwang,Hee-chan,Hee-chan Hwang,22.4,0,False,False,False
2018,P-58755,Denmark,4,4,goal keeper,0,0,0,Schmeichel,Kasper,Kasper Schmeichel,31.6,0,False,False,False
2018,P-58772,Iceland,3,3,center midfielder,0,0,0,Gunnarsson,Aron,Aron Gunnarsson,29.1,0,False,False,False
2018,P-58791,Uruguay,5,5,center midfielder,0,0,0,Bentancur,Rodrigo,Rodrigo Bentancur,21.0,0,False,False,False
2018,P-58924,England,6,6,center forward,6,3,3,Kane,Harry,Harry Kane,24.9,0,True,False,False
2018,P-59138,Uruguay,4,4,center forward,3,0,3,Cavani,Edinson,Edinson Cavani,31.3,2,False,False,False
2018,P-59720,Peru,3,1,midfielder,0,0,0,Aquino,Pedro,Pedro Aquino,23.2,0,False,False,False
2018,P-59837,England,6,1,forward,0,0,0,Rashford,Marcus,Marcus Rashford,20.6,0,False,False,False
2018,P-59950,Colombia,1,0,forward,0,0,0,Borja,Miguel,Miguel Borja,25.4,0,False,False,False
2018,P-60139,Iran,3,3,center midfielder,0,0,0,Ebrahimi,Omid,Omid Ebrahimi,30.7,0,False,False,False
2018,P-60554,Spain,3,0,forward,1,0,1,Aspas,Iago,Iago Aspas,30.9,0,False,False,False
2018,P-60652,France,6,6,right back,1,0,1,Pavard,Benjamin,Benjamin Pavard,22.2,0,False,False,False
2018,P-60871,Egypt,3,3,center midfielder,0,0,0,Elneny,Mohamed,Mohamed Elneny,25.9,0,False,False,False
2018,P-60872,Morocco,2,0,forward,0,0,0,Bouhaddouz,Aziz,Aziz Bouhaddouz,31.2,0,False,False,False
2018,P-60880,Denmark,3,1,midfielder,0,0,0,Schöne,Lasse,Lasse Schöne,32.0,0,False,False,False
2018,P-61256,Australia,3,1,forward,0,0,0,Juric,Tomi,Tomi Juric,26.9,0,False,False,False
2018,P-61424,Colombia,4,2,center midfielder,0,0,0,Lerma,Jefferson,Jefferson Lerma,23.6,0,False,False,False
2018,P-61496,Saudi Arabia,1,1,goal keeper,0,0,0,Al-Mayouf,Abdullah,Abdullah Al-Mayouf,31.4,0,False,False,False
2018,P-61528,Peru,3,3,center midfielder,0,0,0,Yotún,Yoshimar,Yoshimar Yotún,28.2,0,False,False,False
2018,P-61813,Poland,1,1,left midfielder,0,0,0,Jędrzejczyk,Artur,Artur Jędrzejczyk,30.6,0,False,False,False
2018,P-61893,Nigeria,3,3,center midfielder,0,0,0,Ndidi,Wilfred,Wilfred Ndidi,21.5,0,False,False,False
2018,P-61976,Denmark,3,2,defender,1,0,1,Jørgensen,Mathias,Mathias Jørgensen,28.1,0,False,False,False
2018,P-62033,Serbia,1,0,forward,0,0,0,Jović,Luka,Luka Jović,20.5,0,False,False,False
2018,P-62162,Germany,1,1,center midfielder,0,0,0,Rudy,Sebastian,Sebastian Rudy,28.3,0,False,False,False
2018,P-62364,Morocco,3,3,center midfielder,0,0,0,El Ahmadi,Karim,Karim El Ahmadi,33.4,0,False,False,False
2018,P-62455,Nigeria,3,3,center midfielder,0,0,0,Etebo,Peter,Peter Etebo,22.6,0,False,False,False
2018,P-62594,Uruguay,2,1,left midfielder,0,0,0,De Arrascaeta,Giorgian,Giorgian De Arrascaeta,24.0,0,False,False,False
2018,P-62621,Brazil,5,5,right winger,0,0,0,Willian,not applicable,not applicable Willian,29.8,1,False,False,False
2018,P-62629,Tunisia,2,2,center back,0,0,0,Ben Youssef,Syam,Syam Ben Youssef,29.2,0,False,False,False
2018,P-62769,Japan,1,1,right winger,0,0,0,Sakai,Gōtoku,Gōtoku Sakai,27.3,1,False,False,False
2018,P-63312,Switzerland,4,4,goal keeper,0,0,0,Sommer,Yann,Yann Sommer,29.5,1,False,False,False
